year,region,co,no2,o3,pm10,pm25,psi,so2,buses,cars,motorcycles,others,RoadCategory,RoadCategory_Counts
2018,north,0.5996029776674938,25.27059553349876,29.319478908188586,26.635111662531017,15.284367245657569,52.349007444168734,5.826302729528536,231276,7654441,1663064,1939651,B,13
2018,north,0.5996029776674938,25.27059553349876,29.319478908188586,26.635111662531017,15.284367245657569,52.349007444168734,5.826302729528536,231276,7654441,1663064,1939651,C,1
2018,north,0.5996029776674938,25.27059553349876,29.319478908188586,26.635111662531017,15.284367245657569,52.349007444168734,5.826302729528536,231276,7654441,1663064,1939651,E,2
2018,north,0.5996029776674938,25.27059553349876,29.319478908188586,26.635111662531017,15.284367245657569,52.349007444168734,5.826302729528536,231276,7654441,1663064,1939651,F,16
2018,north,0.5996029776674938,25.27059553349876,29.319478908188586,26.635111662531017,15.284367245657569,52.349007444168734,5.826302729528536,231276,7654441,1663064,1939651,B,5
2018,north,0.5996029776674938,25.27059553349876,29.319478908188586,26.635111662531017,15.284367245657569,52.349007444168734,5.826302729528536,231276,7654441,1663064,1939651,B,26
2018,north,0.5996029776674938,25.27059553349876,29.319478908188586,26.635111662531017,15.284367245657569,52.349007444168734,5.826302729528536,231276,7654441,1663064,1939651,C,5
2018,north,0.5996029776674938,25.27059553349876,29.319478908188586,26.635111662531017,15.284367245657569,52.349007444168734,5.826302729528536,231276,7654441,1663064,1939651,F,13
2018,south,0.5589181141439206,23.053722084367244,26.746898263027294,32.98287841191067,16.294789081885856,53.78163771712159,11.528535980148883,231276,7654441,1663064,1939651,A,3
2018,south,0.5589181141439206,23.053722084367244,26.746898263027294,32.98287841191067,16.294789081885856,53.78163771712159,11.528535980148883,231276,7654441,1663064,1939651,B,35
2018,south,0.5589181141439206,23.053722084367244,26.746898263027294,32.98287841191067,16.294789081885856,53.78163771712159,11.528535980148883,231276,7654441,1663064,1939651,C,3
2018,south,0.5589181141439206,23.053722084367244,26.746898263027294,32.98287841191067,16.294789081885856,53.78163771712159,11.528535980148883,231276,7654441,1663064,1939651,D,1
2018,south,0.5589181141439206,23.053722084367244,26.746898263027294,32.98287841191067,16.294789081885856,53.78163771712159,11.528535980148883,231276,7654441,1663064,1939651,E,1
2018,south,0.5589181141439206,23.053722084367244,26.746898263027294,32.98287841191067,16.294789081885856,53.78163771712159,11.528535980148883,231276,7654441,1663064,1939651,F,14
2018,south,0.5589181141439206,23.053722084367244,26.746898263027294,32.98287841191067,16.294789081885856,53.78163771712159,11.528535980148883,231276,7654441,1663064,1939651,A,5
2018,south,0.5589181141439206,23.053722084367244,26.746898263027294,32.98287841191067,16.294789081885856,53.78163771712159,11.528535980148883,231276,7654441,1663064,1939651,B,26
2018,south,0.5589181141439206,23.053722084367244,26.746898263027294,32.98287841191067,16.294789081885856,53.78163771712159,11.528535980148883,231276,7654441,1663064,1939651,C,5
2018,south,0.5589181141439206,23.053722084367244,26.746898263027294,32.98287841191067,16.294789081885856,53.78163771712159,11.528535980148883,231276,7654441,1663064,1939651,D,2
2018,south,0.5589181141439206,23.053722084367244,26.746898263027294,32.98287841191067,16.294789081885856,53.78163771712159,11.528535980148883,231276,7654441,1663064,1939651,F,28
2018,south,0.5589181141439206,23.053722084367244,26.746898263027294,32.98287841191067,16.294789081885856,53.78163771712159,11.528535980148883,231276,7654441,1663064,1939651,A,3
2018,south,0.5589181141439206,23.053722084367244,26.746898263027294,32.98287841191067,16.294789081885856,53.78163771712159,11.528535980148883,231276,7654441,1663064,1939651,B,13
2018,south,0.5589181141439206,23.053722084367244,26.746898263027294,32.98287841191067,16.294789081885856,53.78163771712159,11.528535980148883,231276,7654441,1663064,1939651,C,1
2018,south,0.5589181141439206,23.053722084367244,26.746898263027294,32.98287841191067,16.294789081885856,53.78163771712159,11.528535980148883,231276,7654441,1663064,1939651,E,2
2018,south,0.5589181141439206,23.053722084367244,26.746898263027294,32.98287841191067,16.294789081885856,53.78163771712159,11.528535980148883,231276,7654441,1663064,1939651,F,16
2018,south,0.5589181141439206,23.053722084367244,26.746898263027294,32.98287841191067,16.294789081885856,53.78163771712159,11.528535980148883,231276,7654441,1663064,1939651,B,5
2018,south,0.5589181141439206,23.053722084367244,26.746898263027294,32.98287841191067,16.294789081885856,53.78163771712159,11.528535980148883,231276,7654441,1663064,1939651,B,26
2018,south,0.5589181141439206,23.053722084367244,26.746898263027294,32.98287841191067,16.294789081885856,53.78163771712159,11.528535980148883,231276,7654441,1663064,1939651,C,5
2018,south,0.5589181141439206,23.053722084367244,26.746898263027294,32.98287841191067,16.294789081885856,53.78163771712159,11.528535980148883,231276,7654441,1663064,1939651,F,13
2018,west,0.5297270471464021,20.39305210918114,28.893548387096775,26.11985111662531,13.073076923076924,47.51104218362283,19.89032258064516,231276,7654441,1663064,1939651,A,3
2018,west,0.5297270471464021,20.39305210918114,28.893548387096775,26.11985111662531,13.073076923076924,47.51104218362283,19.89032258064516,231276,7654441,1663064,1939651,B,35
2018,west,0.5297270471464021,20.39305210918114,28.893548387096775,26.11985111662531,13.073076923076924,47.51104218362283,19.89032258064516,231276,7654441,1663064,1939651,C,3
2018,west,0.5297270471464021,20.39305210918114,28.893548387096775,26.11985111662531,13.073076923076924,47.51104218362283,19.89032258064516,231276,7654441,1663064,1939651,D,1
2018,west,0.5297270471464021,20.39305210918114,28.893548387096775,26.11985111662531,13.073076923076924,47.51104218362283,19.89032258064516,231276,7654441,1663064,1939651,E,1
2018,west,0.5297270471464021,20.39305210918114,28.893548387096775,26.11985111662531,13.073076923076924,47.51104218362283,19.89032258064516,231276,7654441,1663064,1939651,F,14
2018,west,0.5297270471464021,20.39305210918114,28.893548387096775,26.11985111662531,13.073076923076924,47.51104218362283,19.89032258064516,231276,7654441,1663064,1939651,A,5
2018,west,0.5297270471464021,20.39305210918114,28.893548387096775,26.11985111662531,13.073076923076924,47.51104218362283,19.89032258064516,231276,7654441,1663064,1939651,B,26
2018,west,0.5297270471464021,20.39305210918114,28.893548387096775,26.11985111662531,13.073076923076924,47.51104218362283,19.89032258064516,231276,7654441,1663064,1939651,C,5
2018,west,0.5297270471464021,20.39305210918114,28.893548387096775,26.11985111662531,13.073076923076924,47.51104218362283,19.89032258064516,231276,7654441,1663064,1939651,D,2
2018,west,0.5297270471464021,20.39305210918114,28.893548387096775,26.11985111662531,13.073076923076924,47.51104218362283,19.89032258064516,231276,7654441,1663064,1939651,F,28
2018,west,0.5297270471464021,20.39305210918114,28.893548387096775,26.11985111662531,13.073076923076924,47.51104218362283,19.89032258064516,231276,7654441,1663064,1939651,A,3
2018,west,0.5297270471464021,20.39305210918114,28.893548387096775,26.11985111662531,13.073076923076924,47.51104218362283,19.89032258064516,231276,7654441,1663064,1939651,B,13
2018,west,0.5297270471464021,20.39305210918114,28.893548387096775,26.11985111662531,13.073076923076924,47.51104218362283,19.89032258064516,231276,7654441,1663064,1939651,C,1
2018,west,0.5297270471464021,20.39305210918114,28.893548387096775,26.11985111662531,13.073076923076924,47.51104218362283,19.89032258064516,231276,7654441,1663064,1939651,E,2
2018,west,0.5297270471464021,20.39305210918114,28.893548387096775,26.11985111662531,13.073076923076924,47.51104218362283,19.89032258064516,231276,7654441,1663064,1939651,F,16
2018,west,0.5297270471464021,20.39305210918114,28.893548387096775,26.11985111662531,13.073076923076924,47.51104218362283,19.89032258064516,231276,7654441,1663064,1939651,B,5
2018,west,0.5297270471464021,20.39305210918114,28.893548387096775,26.11985111662531,13.073076923076924,47.51104218362283,19.89032258064516,231276,7654441,1663064,1939651,B,26
2018,west,0.5297270471464021,20.39305210918114,28.893548387096775,26.11985111662531,13.073076923076924,47.51104218362283,19.89032258064516,231276,7654441,1663064,1939651,C,5
2018,west,0.5297270471464021,20.39305210918114,28.893548387096775,26.11985111662531,13.073076923076924,47.51104218362283,19.89032258064516,231276,7654441,1663064,1939651,F,13
2019,central,0.43764068725099603,23.659736055776893,32.791708167330675,28.230577689243027,16.509711155378486,53.20480577689243,6.046937250996016,234477,7756144,1667931,1934492,A,3
2019,central,0.43764068725099603,23.659736055776893,32.791708167330675,28.230577689243027,16.509711155378486,53.20480577689243,6.046937250996016,234477,7756144,1667931,1934492,B,35
2019,central,0.43764068725099603,23.659736055776893,32.791708167330675,28.230577689243027,16.509711155378486,53.20480577689243,6.046937250996016,234477,7756144,1667931,1934492,C,3
2019,central,0.43764068725099603,23.659736055776893,32.791708167330675,28.230577689243027,16.509711155378486,53.20480577689243,6.046937250996016,234477,7756144,1667931,1934492,D,1
2019,central,0.43764068725099603,23.659736055776893,32.791708167330675,28.230577689243027,16.509711155378486,53.20480577689243,6.046937250996016,234477,7756144,1667931,1934492,E,1
2019,central,0.43764068725099603,23.659736055776893,32.791708167330675,28.230577689243027,16.509711155378486,53.20480577689243,6.046937250996016,234477,7756144,1667931,1934492,F,14
2019,central,0.43764068725099603,23.659736055776893,32.791708167330675,28.230577689243027,16.509711155378486,53.20480577689243,6.046937250996016,234477,7756144,1667931,1934492,A,5
2019,central,0.43764068725099603,23.659736055776893,32.791708167330675,28.230577689243027,16.509711155378486,53.20480577689243,6.046937250996016,234477,7756144,1667931,1934492,B,26
